Channel 1,Channel 2
22.3505,20.8167
22.3521,20.8164
22.3505,20.8160
22.3479,20.8156
22.3465,20.8160
22.3465,20.8169
22.3445,20.8169
22.3429,20.8160
22.3411,20.8164
22.3411,20.8167
22.3394,20.8167
22.3356,20.8175
22.3350,20.8160
22.3374,20.8162
22.3386,20.8169
22.3407,20.8167
22.3403,20.8164
22.3390,20.8160
22.3370,20.8158
22.3366,20.8156
22.3366,20.8158
22.3370,20.8160
22.3390,20.8158
22.3407,20.8171
22.3439,20.8173
22.3465,20.8160
22.3485,20.8158
22.3479,20.8169
22.3487,20.8169
22.3505,20.8164
22.3501,20.8175
22.3485,20.8167
22.3477,20.8164
22.3465,20.8160
22.3469,20.8167
22.3483,20.8162
22.3477,20.8169
22.3471,20.8162
22.3459,20.8158
22.3431,20.8167
22.3449,20.8156
22.3459,20.8158
22.3495,20.8152
22.3802,20.8158
22.4350,20.8160
22.4761,20.8160
22.4991,20.8146
22.4931,20.8152
22.4652,20.8154
22.4431,20.8156
22.4300,20.8150
22.4197,20.8158
22.4124,20.8150
22.4090,20.8154
22.4054,20.8152
22.4031,20.8158
22.4011,20.8162
22.3987,20.8154
22.3953,20.8154
22.3951,20.8156
22.3915,20.8156
22.3898,20.8158
22.3909,20.8158
22.3933,20.8152
22.3919,20.8158
22.3933,20.8148
22.3941,20.8154
22.3939,20.8164
22.3941,20.8144
22.3935,20.8156
22.3931,20.8158
22.3913,20.8150
22.3913,20.8150
22.3902,20.8154
22.3844,20.8144
22.3725,20.8152
22.3491,20.8154
22.3429,20.8152
22.3485,20.8171
22.3566,20.8144
22.3620,20.8152
22.3654,20.8162
22.3671,20.8152
22.3673,20.8167
22.3681,20.8164
22.3697,20.8160
22.3717,20.8152
22.3721,20.8150
22.3727,20.8158
22.3697,20.8167
22.3634,20.8167
22.3517,20.8160
22.3257,20.8164
22.3205,20.8177
22.3326,20.8167
22.3417,20.8167
22.3451,20.8164
22.3503,20.8167
22.3538,20.8158
22.3570,20.8148
22.3600,20.8160
22.3632,20.8164
22.3644,20.8167
22.3648,20.8169
22.3669,20.8158
22.3679,20.8156
22.3691,20.8162
22.3687,20.8160
22.3691,20.8162
22.3701,20.8158
22.3713,20.8158
22.3727,20.8160
22.3745,20.8152
22.3765,20.8154
22.3765,20.8154
22.3769,20.8164
22.3777,20.8164
22.3792,20.8164
22.3790,20.8156
22.3806,20.8164
22.3782,20.8164
22.3759,20.8164
22.3747,20.8162
22.3733,20.8150
22.3729,20.8148
